control,ano,quantidade_kilo
brancaserosadas_moscatoembrapa,1978,0
brancaserosadas_niagara,1978,3239522
brancaserosadas_niagarabranca,1978,0
brancaserosadas_niagararosada,1978,0
brancaserosadas_poloske,1978,0
brancaserosadas_selecoes,1978,0
brancaserosadas_seyvevillard,1978,182406
brancaserosadas_seyvevillard5276,1978,0
brancaserosadas_seyvevillard12375,1978,0
brancaserosadas_tardiadecaxias,1978,0
brancaserosadas_outras,1978,0
tintas,1979,301385687
tintas_bacarina,1979,29525
tintas_bailey,1979,0
tintas_bordo,1979,20061699
tintas_bourdin_s,1979,0
tintas_brscarmen,1979,0
tintas_brscora,1979,0
tintas_brs_magna,1979,0
tintas_brs_margot,1979,0
tintas_brsmorena,1979,0
tintas_brs_rubea,1979,0
tintas_brsvioleta,1979,0
tintas_brs_vitoria,1979,0
tintas_champagnon_champanheta,1979,0
tintas_colecoes,1979,0
tintas_concord,1979,9016712
tintas_concordclone30,1979,0
tintas_couderc,1979,5113513
tintas_cynthiana_1,1979,414158
tintas_herbemont,1979,60116742
tintas_iac138022,1979,0
tintas_isabel,1979,195149198
tintas_isabelprecoce,1979,0
tintas_jacquez,1979,657846
tintas_kyoko,1979,0
tintas_landot,1979,39884
tintas_mistura_de_uvas_americanas_tinto,1979,0
tintas_oberlin,1979,6207
tintas_othello,1979,3638
tintas_paco,1979,0
tintas_patricia,1979,0
tintas_seibel,1979,10776565
tintas_seibel2_seibeleto,1979,0
tintas_seyvewillard_tinta,1979,0
tintas_vênus,1979,0
brancaserosadas,1979,4786127
brancaserosadas_baco,1979,0
brancaserosadas_bokay,1979,0
brancaserosadas_brsclara,1979,0
brancaserosadas_brslorena,1979,0
brancaserosadas_couderc13,1979,0
brancaserosadas_delaware,1979,19359
brancaserosadas_donazilla,1979,0
brancaserosadas_dutchess,1979,0
brancaserosadas_goethe,1979,70345
brancaserosadas_iac,1979,0
brancaserosadas_juliana,1979,0
brancaserosadas_martha,1979,7396
brancaserosadas_mistura_de_uvas_americanas,1979,0
brancaserosadas_moscatoembrapa,1979,0
brancaserosadas_niagara,1979,3589475
brancaserosadas_niagarabranca,1979,0
brancaserosadas_niagararosada,1979,0
brancaserosadas_poloske,1979,0
brancaserosadas_selecoes,1979,0
brancaserosadas_seyvevillard,1979,1099552
brancaserosadas_seyvevillard5276,1979,0
brancaserosadas_seyvevillard12375,1979,0
brancaserosadas_tardiadecaxias,1979,0
brancaserosadas_outras,1979,0
tintas,1980,196759139
tintas_bacarina,1980,37404
tintas_bailey,1980,0
tintas_bordo,1980,16495642
tintas_bourdin_s,1980,0
tintas_brscarmen,1980,0
tintas_brscora,1980,0
tintas_brs_magna,1980,0
tintas_brs_margot,1980,0
tintas_brsmorena,1980,0
tintas_brs_rubea,1980,0
tintas_brsvioleta,1980,0
tintas_brs_vitoria,1980,0
tintas_champagnon_champanheta,1980,0
tintas_colecoes,1980,0
tintas_concord,1980,5640991
tintas_concordclone30,1980,0
tintas_couderc,1980,4431263
tintas_cynthiana_1,1980,285705
tintas_herbemont,1980,31377059
tintas_iac138022,1980,0
tintas_isabel,1980,129236559
tintas_isabelprecoce,1980,0
tintas_jacquez,1980,422025
tintas_kyoko,1980,0
tintas_landot,1980,36680
tintas_mistura_de_uvas_americanas_tinto,1980,0
tintas_oberlin,1980,1042
tintas_othello,1980,37273
tintas_paco,1980,0
tintas_patricia,1980,0
tintas_seibel,1980,8757496
tintas_seibel2_seibeleto,1980,0
tintas_seyvewillard_tinta,1980,0
tintas_vênus,1980,0
brancaserosadas,1980,4360271
brancaserosadas_baco,1980,0
brancaserosadas_bokay,1980,0
brancaserosadas_brsclara,1980,0
brancaserosadas_brslorena,1980,0
brancaserosadas_couderc13,1980,0
brancaserosadas_delaware,1980,18249
brancaserosadas_donazilla,1980,0
brancaserosadas_dutchess,1980,0
brancaserosadas_goethe,1980,16057
brancaserosadas_iac,1980,0
brancaserosadas_juliana,1980,0
brancaserosadas_martha,1980,980
brancaserosadas_mistura_de_uvas_americanas,1980,0
brancaserosadas_moscatoembrapa,1980,0
brancaserosadas_niagara,1980,4030127
brancaserosadas_niagarabranca,1980,0
brancaserosadas_niagararosada,1980,0
brancaserosadas_poloske,1980,0
brancaserosadas_selecoes,1980,0
brancaserosadas_seyvevillard,1980,294858
brancaserosadas_seyvevillard5276,1980,0
brancaserosadas_seyvevillard12375,1980,0
brancaserosadas_tardiadecaxias,1980,0
brancaserosadas_outras,1980,0
tintas,1981,290765867
tintas_bacarina,1981,37893
tintas_bailey,1981,0
tintas_bordo,1981,20525530
tintas_bourdin_s,1981,0
tintas_brscarmen,1981,0
tintas_brscora,1981,0
tintas_brs_magna,1981,0
tintas_brs_margot,1981,0
tintas_brsmorena,1981,0
tintas_brs_rubea,1981,0
tintas_brsvioleta,1981,0
tintas_brs_vitoria,1981,0
tintas_champagnon_champanheta,1981,0
tintas_colecoes,1981,0
tintas_concord,1981,10751352
tintas_concordclone30,1981,0
tintas_couderc,1981,4779453
tintas_cynthiana_1,1981,388118
tintas_herbemont,1981,48717399
tintas_iac138022,1981,0
tintas_isabel,1981,191757135
tintas_isabelprecoce,1981,0
tintas_jacquez,1981,553100
tintas_kyoko,1981,0
tintas_landot,1981,38773
tintas_mistura_de_uvas_americanas_tinto,1981,0
tintas_oberlin,1981,3428
tintas_othello,1981,25750
tintas_paco,1981,0
tintas_patricia,1981,0
tintas_seibel,1981,13187936
tintas_seibel2_seibeleto,1981,0
tintas_seyvewillard_tinta,1981,0
tintas_vênus,1981,0
brancaserosadas,1981,7412211
brancaserosadas_baco,1981,0
brancaserosadas_bokay,1981,0
brancaserosadas_brsclara,1981,0
brancaserosadas_brslorena,1981,0
brancaserosadas_couderc13,1981,0
brancaserosadas_delaware,1981,4630
brancaserosadas_donazilla,1981,0
brancaserosadas_dutchess,1981,0
brancaserosadas_goethe,1981,72134
brancaserosadas_iac,1981,0
brancaserosadas_juliana,1981,0
brancaserosadas_martha,1981,1041
brancaserosadas_mistura_de_uvas_americanas,1981,0
brancaserosadas_moscatoembrapa,1981,0
brancaserosadas_niagara,1981,6714199
brancaserosadas_niagarabranca,1981,0
brancaserosadas_niagararosada,1981,0
brancaserosadas_poloske,1981,0
brancaserosadas_selecoes,1981,0
brancaserosadas_seyvevillard,1981,620207
brancaserosadas_seyvevillard5276,1981,0
brancaserosadas_seyvevillard12375,1981,0
brancaserosadas_tardiadecaxias,1981,0
brancaserosadas_outras,1981,0
tintas,1982,341083460
tintas_bacarina,1982,0
tintas_bailey,1982,0
tintas_bordo,1982,26385123
tintas_bourdin_s,1982,0
tintas_brscarmen,1982,0
tintas_brscora,1982,0
tintas_brs_magna,1982,0
tintas_brs_margot,1982,0
tintas_brsmorena,1982,0
tintas_brs_rubea,1982,0
tintas_brsvioleta,1982,0
tintas_brs_vitoria,1982,0
tintas_champagnon_champanheta,1982,0
tintas_colecoes,1982,0
tintas_concord,1982,11470646
tintas_concordclone30,1982,0
tintas_couderc,1982,6234132
tintas_cynthiana_1,1982,400575
tintas_herbemont,1982,48220049
tintas_iac138022,1982,0
tintas_isabel,1982,237185186
tintas_isabelprecoce,1982,0
tintas_jacquez,1982,796363
tintas_kyoko,1982,0
tintas_landot,1982,30617
tintas_mistura_de_uvas_americanas_tinto,1982,0
tintas_oberlin,1982,5723
tintas_othello,1982,37730
tintas_paco,1982,0
tintas_patricia,1982,0
tintas_seibel,1982,10317316
tintas_seibel2_seibeleto,1982,0
tintas_seyvewillard_tinta,1982,0
tintas_vênus,1982,0
brancaserosadas,1982,13716818
brancaserosadas_baco,1982,319
brancaserosadas_bokay,1982,0
brancaserosadas_brsclara,1982,0
brancaserosadas_brslorena,1982,0
brancaserosadas_couderc13,1982,0
brancaserosadas_delaware,1982,23875
brancaserosadas_donazilla,1982,0
brancaserosadas_dutchess,1982,0
brancaserosadas_goethe,1982,68360
brancaserosadas_iac,1982,0
brancaserosadas_juliana,1982,0
brancaserosadas_martha,1982,3567
brancaserosadas_mistura_de_uvas_americanas,1982,0
brancaserosadas_moscatoembrapa,1982,0
brancaserosadas_niagara,1982,9863766
brancaserosadas_niagarabranca,1982,0
brancaserosadas_niagararosada,1982,0
brancaserosadas_poloske,1982,0
brancaserosadas_selecoes,1982,0
brancaserosadas_seyvevillard,1982,3756931
brancaserosadas_seyvevillard5276,1982,0
brancaserosadas_seyvevillard12375,1982,0
brancaserosadas_tardiadecaxias,1982,0
brancaserosadas_outras,1982,0
tintas,1983,170165573
tintas_bacarina,1983,46640
tintas_bailey,1983,0
tintas_bordo,1983,14872674
tintas_bourdin_s,1983,0
tintas_brscarmen,1983,0
tintas_brscora,1983,0
tintas_brs_magna,1983,0
tintas_brs_margot,1983,0
tintas_brsmorena,1983,0
tintas_brs_rubea,1983,0
tintas_brsvioleta,1983,0
tintas_brs_vitoria,1983,0
tintas_champagnon_champanheta,1983,0
tintas_colecoes,1983,0
tintas_concord,1983,6864134
tintas_concordclone30,1983,0
tintas_couderc,1983,4643069
tintas_cynthiana_1,1983,172523
tintas_herbemont,1983,26085982
tintas_iac138022,1983,0
tintas_isabel,1983,108170744
tintas_isabelprecoce,1983,0
tintas_jacquez,1983,427037
tintas_kyoko,1983,0
tintas_landot,1983,10195
tintas_mistura_de_uvas_americanas_tinto,1983,0
tintas_oberlin,1983,767
tintas_othello,1983,10513
tintas_paco,1983,0
tintas_patricia,1983,0
tintas_seibel,1983,8861295
tintas_seibel2_seibeleto,1983,0
tintas_seyvewillard_tinta,1983,0
tintas_vênus,1983,0
brancaserosadas,1983,9046967
brancaserosadas_baco,1983,0
brancaserosadas_bokay,1983,0
brancaserosadas_brsclara,1983,0
brancaserosadas_brslorena,1983,0
brancaserosadas_couderc13,1983,322338
brancaserosadas_delaware,1983,0
brancaserosadas_donazilla,1983,0
brancaserosadas_dutchess,1983,0
brancaserosadas_goethe,1983,130894
brancaserosadas_iac,1983,0
brancaserosadas_juliana,1983,0
brancaserosadas_martha,1983,1920
brancaserosadas_mistura_de_uvas_americanas,1983,0
brancaserosadas_moscatoembrapa,1983,0
brancaserosadas_niagara,1983,4496756
brancaserosadas_niagarabranca,1983,0
